HULL sample number,lat,lon,ele
1,54.4191149902,-2.9687840212,42.604885
2,54.4117880333,-2.9776430223,41.137516
3,54.4069639966,-2.9636930209,38.516556
4,54.3969099876,-2.9608450178,44.810005
5,54.3888419867,-2.9500499647,32.553276
6,54.3827439845,-2.9438890144,42.94622
7,54.3732740264,-2.9425810184,39.537251
8,54.3675309978,-2.9429339804,36.799984
9,54.4122529775,-2.9634760134,36.870579
10,54.4076450262,-2.9578430392,35.496395
11,54.399327999,-2.9535990302,32.658501
12,54.3909190223,-2.9448540229,4.129568
13,54.3827699684,-2.9381429683,34.65596
14,54.3729000259,-2.9360100254,10.167816
15,54.3672480248,-2.9367469624,30.505844
16,54.3524190132,-2.9400609992,41.857265
17,54.3441029917,-2.945633959,39.139256
18,54.335065037,-2.9463180061,46.725086
19,54.3286320101,-2.9474010319,30.43947
20,54.3182869814,-2.9562219791,43.20446
21,54.309392022,-2.9586689919,41.211914
22,54.3011490069,-2.9598830268,53.658993
23,54.2913919687,-2.9563659802,44.805992
24,54.2828239873,-2.9559100047,35.815437
25,54.3440269679,-2.9413369764,22.027569
26,54.3355620001,-2.9422060121,27.649841
27,54.3283959758,-2.9432590306,36.775604
28,54.3135940377,-2.9507859796,29.690586
29,54.3089460209,-2.9535919894,22.80574
30,54.3012339994,-2.9545740131,2.380855
31,54.29173504,-2.9534299672,32.148834
32,54.2828909587,-2.9538779799,20.247673
33,54.2832750175,-2.9513530154,36.43718
34,54.2914189585,-2.9547379632,15.686801
35,54.30095396,-2.9568300024,43.475498
36,54.3091689795,-2.955832975,42.807316
37,54.3174850009,-2.9550989717,38.818413
38,54.3281890266,-2.9474730324,41.963409
39,54.3348249793,-2.9450700246,39.007545
40,54.3421449792,-2.9425459821,38.188156
41,54.3507490028,-2.9318110272,41.054596
42,54.3727980182,-2.9231869709,43.582417
43,54.3932869937,-2.9391560052,28.401293
44,54.4118949864,-2.9710110091,41.615501
45,54.4080590084,-2.9619240202,48.287697
46,54.3972569983,-2.959957961,28.883173
47,54.3893640116,-2.9494700208,39.541676
48,54.3831149675,-2.9432789795,46.027603
49,54.3737409823,-2.9416649602,34.010586
50,54.3678810261,-2.939238986,56.579948
