HULL sample number,lat,lon,ele,Perch,pike ,Roach,Charr
1,54.4191149902,-2.9687840212,42.604885,1,1,1,0
2,54.4117880333,-2.9776430223,41.137516,0,1,1,0
3,54.4069639966,-2.9636930209,38.516556,1,1,1,0
4,54.3969099876,-2.9608450178,44.810005,1,1,1,1
5,54.3888419867,-2.9500499647,32.553276,1,1,1,1
6,54.3827439845,-2.9438890144,42.94622,1,1,1,1
7,54.3732740264,-2.9425810184,39.537251,1,1,1,1
8,54.3675309978,-2.9429339804,36.799984,1,1,1,1
9,54.4122529775,-2.9634760134,36.870579,1,1,1,1
10,54.4076450262,-2.9578430392,35.496395,1,1,1,0
14,54.3729000259,-2.9360100254,10.167816,0,1,0,0
15,54.3672480248,-2.9367469624,30.505844,1,1,1,0
16,54.3524190132,-2.9400609992,41.857265,1,1,1,0
20,54.3182869814,-2.9562219791,43.20446,1,1,1,0
21,54.309392022,-2.9586689919,41.211914,1,1,1,0
22,54.3011490069,-2.9598830268,53.658993,1,1,0,0
23,54.2913919687,-2.9563659802,44.805992,1,1,1,0
25,54.3440269679,-2.9413369764,22.027569,1,1,1,0
26,54.3355620001,-2.9422060121,27.649841,1,1,1,0
27,54.3283959758,-2.9432590306,36.775604,1,1,1,0
29,54.3089460209,-2.9535919894,22.80574,1,1,1,0
31,54.29173504,-2.9534299672,32.148834,1,1,1,0
34,54.2914189585,-2.9547379632,15.686801,1,1,1,0
38,54.3281890266,-2.9474730324,41.963409,1,1,1,0
39,54.3348249793,-2.9450700246,39.007545,1,1,1,0
40,54.3421449792,-2.9425459821,38.188156,1,1,1,0
41,54.3507490028,-2.9318110272,41.054596,1,1,1,1
42,54.3727980182,-2.9231869709,43.582417,1,1,1,0
46,54.3972569983,-2.959957961,28.883173,1,1,1,0
47,54.3893640116,-2.9494700208,39.541676,1,1,0,0
49,54.3737409823,-2.9416649602,34.010586,1,1,1,1
