branch	Chr01	Chr02	Chr03	Chr05	Chr08
1	229	232	43	316	180
1	232	225	43	320	180
1	243	215	42	319	181
1	251	201	42	325	181
1	257	188	41	332	182
1	266	180	42	332	180
1	275	168	42	336	179
1	283	159	42	338	178
1	289	148	41	344	178
1	296	140	41	345	178
1	299	134	41	348	178
1	305	125	40	351	179
1	307	123	40	352	178
1	313	118	40	352	177
1	314	115	40	354	177
1	314	115	40	354	177
1	312	112	40	359	177
1	316	106	40	361	177
1	317	103	40	363	177
1	322	97	39	365	177
1	320	99	38	365	178
1	327	94	38	364	177
1	326	98	38	362	176
1	328	93	38	365	176
1	326	92	38	368	176
1	330	85	38	372	175
1	336	81	38	371	174
1	345	75	38	370	172
1	340	78	38	372	172
1	336	81	37	373	173
1	343	77	37	372	171
1	339	82	37	372	170
1	338	81	37	376	168
1	343	79	37	375	166
1	349	79	37	370	165
1	359	73	37	367	164
1	357	71	37	372	163
1	359	72	36	370	163
1	357	74	36	370	163
1	363	71	35	368	163
1	366	72	35	365	162
1	368	74	35	362	161
1	367	74	34	364	161
1	366	76	34	364	160
1	365	77	35	364	159
1	363	82	35	363	157
1	319	59	36	340	154
1	2	3	0	4	0
1	0	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
2	368	75	38	364	155
2	368	75	43	359	155
2	372	70	49	357	152
2	374	69	54	351	152
2	369	72	58	349	152
2	362	75	62	351	150
2	361	74	68	350	147
2	360	73	74	348	145
2	362	68	75	350	145
2	354	74	82	346	144
2	353	71	86	346	144
2	354	70	93	340	143
2	351	75	97	335	142
2	342	84	101	331	142
2	339	85	105	330	141
2	336	84	109	330	141
2	333	83	115	328	141
2	333	81	122	323	141
2	334	78	127	320	141
2	331	78	128	322	141
2	330	80	133	316	141
2	330	77	137	315	141
2	326	82	138	313	141
2	326	76	140	317	141
2	325	78	146	313	138
2	324	77	151	311	137
2	321	77	156	310	136
2	321	73	161	309	136
2	311	83	161	309	136
2	305	88	166	307	134
2	304	86	168	309	133
2	303	81	171	313	132
2	303	77	173	315	132
2	302	77	175	314	132
2	303	71	180	316	130
2	296	75	185	315	129
2	294	73	189	316	128
2	290	74	194	315	127
2	291	69	198	316	126
2	285	73	203	314	125
2	285	72	205	313	125
2	280	73	207	315	125
2	280	69	212	315	124
2	275	71	212	318	124
2	279	66	215	318	122
2	277	66	220	316	121
2	274	64	224	318	120
2	273	63	228	317	119
2	271	63	228	319	119
2	268	65	232	316	119
2	268	65	232	316	119
2	264	64	235	318	119
2	262	63	238	317	120
2	265	60	240	314	121
2	269	54	245	312	120
2	266	56	247	311	120
2	267	55	249	310	119
2	266	58	256	302	118
2	268	54	261	300	117
2	268	54	266	297	115
2	268	50	271	296	115
2	269	49	272	295	115
2	276	43	275	291	115
2	275	44	278	288	115
2	273	43	282	286	116
2	272	42	287	284	115
2	270	42	291	283	114
2	267	44	295	281	113
2	262	49	300	276	113
2	255	56	302	275	112
2	252	58	306	272	112
2	248	60	311	270	111
2	247	56	313	273	111
2	246	53	315	276	110
2	246	51	319	274	110
2	246	50	323	269	110
2	59	27	121	49	3
2	0	1	3	1	0
2	0	0	0	0	0
2	0	0	0	0	0
2	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
